Title,Year,Sample Name,Paper Type(1 for material papers 0 for fuel cell papers),Pt Content wt/%,Zn Content wt/%,Mn Cotent wt/%,Cu Cotent wt/%,Co Cotent wt/%,Fe Cotent wt/%(ICP for metal),Fe,N Content at/%,O Content at/%,S Content at/%,Pyridinic N+metal N Content at/%,Pyrrolic N Content at/%,Graphitic N Content at/%,Oxidized N Content at/%,sum,Pyridinic N+metal N Content ratio at/%,Pyrrolic N Content ratio at/%,Graphitic N Content ratio at/%,Oxidized N Content ratio at/%,Precursor Type(mg),FeC2O4﹞2H2O,Fe(acac)3,Fe(NO3)3,Fe(NO3)3.9H2O,FeCl2,FeCl3,Fe(SCN)3,FeSO4.7H2O,Fe(Ac)2,Ferrocene,Ferrocene(diffusion),"Tris-1,10phenanthroline iron(II) perchlorate",Fe powder,FePc,PFeTTPP,FeTMPPCl,Fe每corrole ,Fe(acac)3,hemin,ZnO,CoTMPP,Co(NO3)2.6H2O,Co(Ac)2,CoCl2,VB12,Mn(Ac)2,H2PtCl6,TMPP,Zinc nitrate hexahydrate,ZnCl2,imidazole,2-methylimidazole,H3BTT.2HCl,purchased ZIF-8,furfuryl alcohol,mPDA,nicarbazin,EDA(ethylenediamine ),ammonium peroxidisulfate ,PANI(by aniline),PAN powder,triethylenetetramine,polyimide,poly(methyl methacrylate),Pyrrole(monomer),polyacrylonitrile-polymethacrylic acid copolymer ,MWCNT,CNF,PSS coated GO ,GO,Graphene nano-platelets (GNP) ,PEI,C3N4,melamine,cyanamide,dicyandiamide ,"1,10-phenanthroline",Vulcan XC-72R,acid-treated KJ600,KJ600,BP2000,EC300,ZnO,SBA-15,MMT,SiO2,NaCl,OMS,PTFE,Fe3O4 microspheres,ZIF-NC,CTAB,F127,PVP,NaOH,Tetraethyl orthosilicate ,PmPDA-KJ600,First Pyrolysis Temperature in amonia /⊥,First Pyrolysis Time amonia/h,First Pyrolysis Temperature in inert atomosphere/⊥,First Pyrolysis Time inert/h,First Pyrolysis Temperature in H2 atomosphere/⊥,First Pyrolysis Time H2/h,Rising Rate ⊥/min,Acid Wash (1 for yes 0 for no),Acid concentration (M),Acid wash temperature/⊥,Acid wash time/h,Second Pyrolysis temperature inert/⊥,Second Pyrolysis time inert,Second Pyrolysis temperature amonia/⊥,Second Pyrolysis time amonia/h,Second Pyrolysis temperature H2/⊥,Second Pyrolysis time H2/h,Raman ID/IG ratio ,BET Surface Area cm2/g,Micropore ratio,Mesopore ratio,Macropore ratio,Onset Potential in Acid Condition (vs. RHE),Half Wave Potential in Acid Condition (vs. RHE),Durability in O2 mV/10000Cycle,Durability in N2 mV/10000Cycle,I/C Ratio(ionomer/catalyst),Effective Area cm2,Cathodic Loading Amount mg cm-2,Anodic Platinum Loading Amount mgPt cm-2,Anodic catalyst type x wt% Pt/C,Membrane,Membrane Thickness,Hot Press Temperature ⊥,Hot Press Time min,Hot Press Pressure Mpa,Humidity %,Spray(1 for yes 0 for no),Operating Temperature ⊥,Flowing rate of H2 ml min-1 ,Flowing rate of O2 ml min-1 ,Back Pressure Mpa,Maximum Power Density mW cm-2 ,higher than 700,Current density at 0.6V mA/cm2,Current density at 0.8V mA/cm2,Open Circuit Voltage V,Voltage 100mA cm0,Voltage 200mA cm0,Voltage 300mA cm0,Voltage 400mA cm0,Voltage 500mA cm0,Voltage 600mA cm0,Voltage 700mA cm0,Voltage 800mA cm0,Voltage 900mA cm0,Voltage 1000mA cm0,Voltage 1100mA cm0,Voltage 1200mA cm0,Voltage 1300mA cm0,Voltage 1400mA cm0,Voltage 1500mA cm0,Voltage 1600mA cm0,Voltage 1700mA cm0,Voltage 1800mA cm0,Voltage 1900mA cm0,Voltage 2000mA cm0,Voltage 2100mA cm0,Voltage 2200mA cm0,Voltage 2300mA cm0,Voltage 2400mA cm0,Voltage 2500mA cm0,Voltage 2600mA cm0,Voltage 2700mA cm0,Voltage 2800mA cm0
Is the rapid initial performance loss of Fe/N/C non precious metal catalysts due to micropore flooding?,2016,Fe-N-C-PANI-Phen ,0,0,0,0,0,0,0.0171,1.71,0.03938,0.03337,4.65E-04,,,,,,,,,,,,,,,,5000,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2500,1500,,,,,,,,,,,,,,,,,500,,,500,,,,,,,,,,,,,,,,,,,,900,1,,,,1,1,,8,900,3,900,0.25,,,,1244,0.40405,0.59595,0,,,,,0.54,5,8,0.2,,Nafion 211,25,130,5,6.8947,100,0,80,200,200,0.103,780,1,860,90,0.9,0.78,0.735,0.715,0.69,0.665,0.65,0.625,0.61,0.595,0.575,0.55,0.535,0.52,0.5,0.475,0.455,0.445,0.425,0.405,0.39,0.365,0.35,0.325,0.31,0.29556,0.28216,0.26968,0.25805
Single-Atom to Single-Atom Grafting of Pt1 onto Fe-N4 Center: Pt1@Fe-N-C Multifunctional Electrocatalyst with Significantly Enhanced Properties,2018,Pt1@Fe-N-C,1,0.021,0,0,0,0,0.01,1,0.0688,0.0764,0,,,,,,,,,,"ZIF-8/1,10-phenanthroline/Chloroplatinic acid/FeAc",,,,,,,,,,,,,,,,,,,,,,,,,,,4.2,,,,,920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,,,,,,,,,,,,,,,900,0.167,1000,1,,,,1,0.5,25,6,450,2,,,,,1.2,979.8,0.95028,0.04972,0,0.93,0.8,12,,1,5,2,0.45,0.2,Nafion 211,25,130,2,13.34,100,0,80,300,400,0.206,800,1,1135,200,1,0.84,0.8,0.775,0.755,0.735,0.71,0.69,0.665,0.65,0.63,0.6,0.58,0.56,0.54,0.515,0.49,0.46,0.435,0.42,0.39,0.36,0.335,0.305,0.28,0.25619,0.23455,0.21478,0.19667
Single-Atom to Single-Atom Grafting of Pt1 onto Fe-N4 Center: Pt1@Fe-N-C Multifunctional Electrocatalyst with Significantly Enhanced Properties,2018,Pt1@Fe-N-C,1,0.021,0,0,0,0,0.01,1,0.0688,0.0764,0,,,,,,,,,,"ZIF-8/1,10-phenanthroline/Chloroplatinic acid/FeAc",,,,,,,,,,,,,,,,,,,,,,,,,,,4.2,,,,,920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,,,,,,,,,,,,,,,900,0.167,1000,1,,,,1,0.5,25,6,450,2,,,,,1.2,979.8,0.95028,0.04972,0,0.93,0.8,12,,1,5,4,0.45,0.2,Nafion 211,25,130,2,13.34,100,0,80,300,400,0.206,810,1,1275,350,1,0.87,0.835,0.81,0.78,0.77,0.745,0.72,0.7,0.685,0.66,0.64,0.615,0.59,0.56,0.535,0.5,0.47,0.435,0.4,0.365,0.32,0.275,0.225,0.1783,0.13739,0.10125,0.0691,0.0403
S-Doping of an Fe/N/C ORR Catalyst for Polymer Electrolyte Membrane Fuel Cells with High Power Density,2015,Fe-N-C-Cl,1,0,0,0,0,0,0.0464,4.64,0.049,,0.007,,,,,,,,,,mPDA/KJ600/FeCl3 ,,,,,,1.459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15000,,,,,,,,,,,,,,,,,,,,,,,,2000,,,,,,,,,,,,,,,,,,,,950,3,,,,1,1,80,8,950,3,,,,,,656,0.75915,0.24085,0,0.92,0.82,,,1.07,1,4,0.4,0.4,Nafion211,25,130,2.25,3,100,0,80,300,300,0.2,810,1,750,75,0.97,0.8,0.755,0.71,0.68,0.655,0.63,0.61,0.59,0.575,0.555,0.54,0.52,0.505,0.49,0.475,0.455,0.44,0.42,0.41,0.39,0.375,0.36,0.35,0.335,0.31,0.28619,0.26455,0.24478
Environmental-Friendly Solid Synthesis of Fe-N-C Electrocatalyst with Fe Exclusively in Atomically Dispersed Fe-N4 Moieties for High-Power Proton Exchange Membrane Fuel Cells,2017,Fe2-Z8-C,0,0,0,0,0,0,0.03,3,,,0,,,,,,,,,,,,,,,,,,,28.8,,,,,,,,,,,,,,,,,,,,,,,1707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,638,,,,,,,,,,,500,,,,,,1000,2,,,10,,0,,,,,,,,,,1264.9,0.91894,0.08106,0,0.902,0.805,,,1,5,0.91,0.33,0.2,Nafion 211,25,130,1.5,1.5,100,0,80,300,400,0.25,810,1,600,30,0.91,0.725,0.69,0.66,0.635,0.61,0.6,0.575,0.555,0.54,0.52,0.51,0.495,0.48,0.46,0.45,0.44,0.425,0.41,0.4,0.39,0.375,0.36,0.35,0.34,0.325,0.315,0.305,0.29531
Is the rapid initial performance loss of Fe/N/C non precious metal catalysts due to micropore flooding?,2016,Fe-N-C-PANI-Phen ,0,0,0,0,0,0,0.0171,1.71,0.03938,0.03337,4.65E-04,,,,,,,,,,,,,,,,5000,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2500,1500,,,,,,,,,,,,,,,,,500,,,500,,,,,,,,,,,,,,,,,,,,900,1,,,,1,1,,8,900,3,900,0.25,,,,1244,0.40405,0.59595,0,,,,,0.54,5,8,0.2,,Nafion 211,25,130,5,6.8947,60,0,80,200,200,0.103,819,1,1020,100,0.91,0.8,0.76,0.73,0.715,0.69,0.675,0.65,0.64,0.625,0.6,0.585,0.56,0.545,0.525,0.505,0.49,0.46,0.45,0.425,0.405,0.39,0.365,0.34,0.325,0.3,0.27619,0.25455,0.23478
Networking Pyrolyzed Zeolitic Imidazolate Frameworks by Carbon Nanotubes Improves Conductivity and Enhances Oxygen-Reduction Performance in Polymer-ElectrolyteMembrane Fuel Cells,2017,ZIF'-FA-CNT-P,0,0,0.02,0,0,0,0.0518,5.18,0.08448,0.09894,0,,,,,,,,,,,,,,,,,,74.81,,,,,,,,,,,,,,,,,,,,,1496.17,,,3700,,,5642,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,950,2,,,5,0,0,,,,,,,,,,507.66,0.19964,0.80036,0,0.95,0.8,,,1,1.69,4.5,0.4,0.4,Nafion211,25,130,2.25,3,100,0,80,300,300,0.1,820,1,875,90,0.925,0.79,0.75,0.725,0.7,0.675,0.65,0.625,0.61,0.59,0.575,0.55,0.54,0.525,0.5,0.48,0.47,0.45,0.44,0.425,0.4,0.39,0.375,0.355,0.345,0.325,0.31,0.3,0.29031
Single-Atom to Single-Atom Grafting of Pt1 onto Fe-N4 Center: Pt1@Fe-N-C Multifunctional Electrocatalyst with Significantly Enhanced Properties,2018,Pt1@Fe-N-C,1,0.021,0,0,0,0,0.01,1,0.0688,0.0764,0,,,,,,,,,,"ZIF-8/1,10-phenanthroline/Chloroplatinic acid/FeAc",,,,,,,,,,,,,,,,,,,,,,,,,,,4.2,,,,,920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,,,,,,,,,,,,,,,900,0.167,1000,1,,,,1,0.5,25,6,450,2,,,,,1.2,979.8,0.95028,0.04972,0,0.93,0.8,12,,1,5,3,0.45,0.2,Nafion 211,25,130,2,13.34,100,0,80,300,400,0.206,860,1,1325,300,1,0.855,0.82,0.8,0.775,0.76,0.745,0.72,0.7,0.685,0.665,0.65,0.625,0.6,0.575,0.55,0.525,0.5,0.475,0.44,0.415,0.38,0.35,0.32,0.28,0.24238,0.20898,0.17914,0.1523
Fe每N每C electrocatalyst with dense active sites and efficient mass transport for high-performance proton exchange membrane fuel cells,2019,TPI@Z8-650-C,0,0,0.0158,0,0,0,0.0303,3.03,0.1079,0.0326,0,,,,,,,,,,TPI/ZIF-8,,,,,,,,,4.3736,,,,,,,,,,,,,,,,,,,,2205,,,2430,,,,,,,,,,,,,,,,,,,,,,,,,13.5945,,,,,,,,,,,,,,,,,,,,,800,0.25,1000,1,,,10,0,0,,,,,,,,,,1368,0.84272,0.15728,0,0.93,0.811,,,1,5,2.7,0.2,0.4,Nafion 211,25,130,1.5,1.5,100,0,80,300,400,0.25,870,1,1220,260,0.91,0.85,0.815,0.795,0.775,0.75,0.73,0.71,0.695,0.675,0.65,0.625,0.605,0.58,0.55,0.525,0.5,0.475,0.45,0.43,0.415,0.4,0.385,0.37,0.355,0.345,0.33,0.32,0.31031
Environmental-Friendly Solid Synthesis of Fe-N-C Electrocatalyst with Fe Exclusively in Atomically Dispersed Fe-N4 Moieties for High-Power Proton Exchange Membrane Fuel Cells,2017,Z8-Fe2-C,0,0,0,0,0,0,0.03,3,,,0,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2552.16,,,,,,,,,,,3000,,,,,,1000,2,,,10,,0,,,,,,,,,,,,,,0.85,0.76,,,1,5,2.7,0.33,0.2,Nafion 211,25,130,1.5,1.5,100,0,80,300,400,0.25,890,1,1300,200,0.86,0.845,0.8,0.775,0.75,0.73,0.71,0.7,0.685,0.67,0.65,0.63,0.61,0.6,0.575,0.55,0.54,0.51,0.5,0.475,0.45,0.425,0.4,0.375,0.35,0.325,0.302,0.28,0.25899
Highly efficient nonprecious metal catalyst prepared with metal每organic framework in a continuous carbon nanofibrous network,2015,ZIF8_24%,0,0,0,0,0,0,0.0056,0.56,0.0903,,0,,,,,,,,,,"TPI/ZIF-8/PAN/poly
(methyl methacrylate)",,,,,,,,,,,,0.02439,,,,,,,,,,,,,,,,,,,,,,0.24,,,,,,0.4416,,,,0.2944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900,1,1000,1,,,,1,1,25,0.67,,,700,1,,,,809,0.84,0.16,0,0.92,0.8,,2.4,1.5,5,3,0.3,0.2,Nafion211,25,130,2,13.61,100,0,80,300,400,0.2,900,1,1240,250,1,0.85,0.81,0.79,0.76,0.745,0.72,0.7,0.68,0.655,0.645,0.62,0.6,0.58,0.56,0.54,0.525,0.5,0.48,0.47,0.445,0.425,0.4,0.38,0.36,0.35,0.34031,0.33119,0.3226
S-Doping of an Fe/N/C ORR Catalyst for Polymer Electrolyte Membrane Fuel Cells with High Power Density,2015,Fe-N-C/SCN,1,0,0,0,0,0,0.0369,3.69,0.044,,0.021,,,,,,,,,,mPDA/KJ600/Fe(SCN)3 ,,,,,,,2.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15000,,,,,,,,,,,,,,,,,,,,,,,,2000,,,,,,,,,,,,,,,,,,,,950,3,,,,1,1,80,8,950,3,,,,,,751,0.55126,0.44874,0,0.95,0.836,,,1.07,1,4,0.4,0.4,Nafion211,25,130,2.25,3,100,0,80,300,300,0.1,940,1,1225,160,0.97,0.825,0.795,0.77,0.75,0.73,0.705,0.695,0.675,0.655,0.64,0.625,0.605,0.575,0.565,0.55,0.53,0.515,0.495,0.475,0.46,0.44,0.425,0.41,0.385,0.37,0.35,0.32,0.29156
Environmental-Friendly Solid Synthesis of Fe-N-C Electrocatalyst with Fe Exclusively in Atomically Dispersed Fe-N4 Moieties for High-Power Proton Exchange Membrane Fuel Cells,2017,Fe2-Z8-C w/o PVP,0,0,0,0,0,0,0.03,3,,,0,,,,,,,,,,,,,,,,,,,28.8,,,,,,,,,,,,,,,,,,,,,,,1707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,638,,,,,,,,,,,,,,,,,1000,2,,,10,,0,,,,,,,,,,1198.6,0.90523,0.09477,0,0.902,0.805,,,1,5,2.8,0.33,0.2,Nafion 211,25,130,1.5,1.5,100,0,80,300,400,0.25,975,1,1300,200,0.98,0.825,0.8,0.78,0.75,0.74,0.72,0.701,0.69,0.665,0.65,0.64,0.62,0.6,0.59,0.565,0.55,0.535,0.515,0.5,0.485,0.455,0.44,0.42,0.4,0.385,0.36,0.35,0.34031
Environmental-Friendly Solid Synthesis of Fe-N-C Electrocatalyst with Fe Exclusively in Atomically Dispersed Fe-N4 Moieties for High-Power Proton Exchange Membrane Fuel Cells,2017,Fe2-Z8-C,0,0,0,0,0,0,0.03,3,,,0,,,,,,,,,,,,,,,,,,,28.8,,,,,,,,,,,,,,,,,,,,,,,1707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,638,,,,,,,,,,,500,,,,,,1000,2,,,10,,0,,,,,,,,,,1264.9,0.91894,0.08106,0,0.902,0.805,,,1,5,1.9,0.33,0.2,Nafion 211,25,130,1.5,1.5,100,0,80,300,400,0.25,1000,1,1200,200,0.98,0.825,0.8,0.775,0.745,0.725,0.705,0.69,0.67,0.65,0.635,0.62,0.6,0.59,0.565,0.55,0.54,0.515,0.501,0.49,0.475,0.45,0.44,0.42,0.405,0.395,0.375,0.36,0.34556
S-Doping of an Fe/N/C ORR Catalyst for Polymer Electrolyte Membrane Fuel Cells with High Power Density,2015,Fe-N-C/SCN,1,0,0,0,0,0,0.0369,3.69,0.044,,0.021,,,,,,,,,,mPDA/KJ600/Fe(SCN)3 ,,,,,,,2.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15000,,,,,,,,,,,,,,,,,,,,,,,,2000,,,,,,,,,,,,,,,,,,,,950,3,,,,1,1,80,8,950,3,,,,,,751,0.55126,0.44874,0,0.95,0.836,,,1.07,1,4,0.4,0.4,Nafion211,25,130,2.25,3,100,0,80,300,300,0.2,1030,1,1375,250,0.97,0.86,0.82,0.8,0.775,0.755,0.735,0.72,0.7,0.68,0.665,0.65,0.63,0.62,0.595,0.58,0.56,0.545,0.525,0.51,0.495,0.475,0.46,0.445,0.425,0.41,0.395,0.365,0.33656
Environmental-Friendly Solid Synthesis of Fe-N-C Electrocatalyst with Fe Exclusively in Atomically Dispersed Fe-N4 Moieties for High-Power Proton Exchange Membrane Fuel Cells,2017,Fe2-Z8-C,0,0,0,0,0,0,0.03,3,,,0,,,,,,,,,,2Mim/ZnO/FeAc/PVP,,,,,,,,,28.8,,,,,,,,,,,,,,,,,,,,,,,1707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,638,,,,,,,,,,,500,,,,,,1000,2,,,10,,0,,,,,,,,,,1264.9,0.91894,0.08106,0,0.902,0.805,,,1,5,2.8,0.33,0.2,Nafion 211,25,130,1.5,1.5,100,0,80,300,400,0.2,1110,1,1700,400,0.99,0.875,0.84,0.81,0.795,0.775,0.755,0.75,0.735,0.715,0.7,0.685,0.675,0.65,0.645,0.625,0.61,0.6,0.59,0.57,0.55,0.515,0.5,0.49,0.475,0.45,0.43,0.415,0.29031
Environmental-Friendly Solid Synthesis of Fe-N-C Electrocatalyst with Fe Exclusively in Atomically Dispersed Fe-N4 Moieties for High-Power Proton Exchange Membrane Fuel Cells,2017,Fe2-Z8-C,0,0,0,0,0,0,0.03,3,,,0,,,,,,,,,,,,,,,,,,,28.8,,,,,,,,,,,,,,,,,,,,,,,1707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,638,,,,,,,,,,,500,,,,,,1000,2,,,10,,0,,,,,,,,,,1264.9,0.91894,0.08106,0,0.902,0.805,,,1,5,2.8,0.33,0.2,Nafion 211,25,130,1.5,1.5,100,0,80,300,400,0.25,1141,1,1700,400,0.99,0.875,0.84,0.81,0.795,0.775,0.755,0.75,0.735,0.715,0.7,0.685,0.675,0.65,0.645,0.625,0.61,0.6,0.59,0.57,0.55,0.53,0.515,0.5,0.49,0.465,0.45,0.43,0.41086
Fe每N每C electrocatalyst with dense active sites and efficient mass transport for high-performance proton exchange membrane fuel cells,2019,TPI@Z8(SiO2)-650-C,0,0,0.0142,0,0,0,0.0301,3.01,0.1079,0.0263,0,,,,,,,,,,TPI/ZIF-8/SiO2,,,,,,,,,4.3736,,,,,,,,,,,,,,,,,,,,2205,,,2430,,,,,,,,,,,,,,,,,,,,,,,,,13.5945,,,,,,,,,,,,,,,150,,,57.6,1120.8,,800,0.25,1000,1,,,10,0,0,,,,,,,,,,1648,0.60534,0.39466,0,0.98,0.823,,,1,5,2.7,0.2,0.4,Nafion 211,25,130,1.5,1.5,100,0,80,300,400,0.25,1180,1,1750,300,0.96,0.85,0.825,0.8,0.785,0.775,0.76,0.75,0.74,0.72,0.71,0.7,0.68,0.665,0.65,0.63,0.62,0.605,0.59,0.575,0.555,0.54,0.525,0.51,0.49,0.475,0.455,0.445,0.43531
Fe/N/C Catalyst Graphitic Layer Structure and Fuel Cell Performance,2017,Fe-N-C,1,0,0,0,0,0,0.05,5,0.03,,0,,,,,,,,,,Silica/iron nitrate nonahydrate,,,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6000,,,,,,,,,,,,,,,,975,0.75,30,1,23,25,96,,,950,0.5,,,,,,,,,,,,,5,3,,,Nafion membrane using PTFEimpregnated glass-fiber sub-gaskets,25,131,10,3.102,100,0,80,250,200,0.1,490,0,657,100,0.956,0.8,0.75,0.72,0.69,0.66,0.63,0.59,0.55,0.51,0.47,0.44,0.4,0.375,0.35,0.32,0.19156,0.16592,0.1427,0.12157,0.10225,0.08452,0.08452,0.0682,0.05312,0.03915,0.02617,0.01407,0.00277
High-performance pyrolyzed iron corrole as a potential non-precious metal catalyst for PEMFCs,2013,Py-Fe-corrole/C,0,0,0,0,0,0,0.0095,0.95,,,0,,,,,,,,,,Fe每corrole/XC-72R,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,,,,,,,,,,,,,,,,,,,,,,700,20,,,,0,0,,,,,,,,,,,,,,0.98,0.74,,,2,5,2,0.25,,Nafion 212,50,135,2,13,100,0,70,100,150,0.1,330,0,110,0,0.82,0.61,0.55,0.5,0.46,0.43,0.4,0.375,0.355,0.335,0.32,0.3,0.275,0.25,0.225,0.2,0.17619,0.15455,0.13478,0.11667,0.1,0.08462,0.07037,0.05714,0.04483,0.03333,0.02258,0.0125,0.00303
Co nanoparticle embedded in atomically-dispersed Co-N-C nanofibers for oxygen reduction with high activity and remarkable durability,2018,Co@SACo-N-C-20,0,0,0,0,0,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600,2,,,3,0,0,,,900,10,900,0.333,,,,,,,,,,,,0.818,6.25,3,0.4,0.2,Nafion 212,50,135,2,2,100,0,70,400,200,0.2068,360,0,160,0,0.81,0.64,0.58,0.52,0.48,0.43,0.39,0.36,0.34,0.32,0.31,0.3,0.295,0.28,0.225,0.1738,0.12921,0.09003,0.05533,0.02439,0,0,0,0,0,0,0,0,0
Vitalizing fuel cells with vitamins: pyrolyzed vitamin B12 as a non-precious catalyst for enhanced oxygen reduction reaction of polymer electrolyte fuel cells,2012,py-B12/C ,1,0,0,0,0,0.0095,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,,,,,,,,,,,,,,,,,,,,,,700,2,,,20,0,0,,,,,,,,,,,,,,,,,,0.5,5,6,0.075,0.3,Nafion 212,50,135,2,13,100,0,70,100,150,0.1,370,0,400,50,0.86,0.75,0.675,0.63,0.6,0.57,0.545,0.505,0.455,0.405,0.34,0.25,0.1678,0.09871,0.03982,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iron-based cathode catalyst with enhanced power density in polymer electrolyte membrane fuel cells,2011,1/50/50-BP-1050 ～C-60 min,0,0,0,0,0,0,0.0202,2.02,0.024,,0,,,,,,,,,,"BP2000/1,10-Phenanthroline/FeAc",,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,,,,500,,,,,,,,,,,,,,,,,950,1,1050,1,,,,0,0,,,,,,,,,,767,0.78879,0.21121,0,,,,,1.5,1,3.9,0.23,0.46,Nafion117,175,140,0.67,19.824,100,0,80,300,300,0.1,450,0,535,60,0.9,0.775,0.725,0.675,0.65,0.6,0.575,0.54,0.51,0.655,0.45,0.405,0.375,0.35,0.325,0.285,0.25,0.225,0.2,0.175,0.15,0.125,0.09,0.06433,0.04108,0.01992,5.85E-04,0,0
Ordered mesoporous porphyrinic carbons with very high electrocatalytic activity for the oxygen reduction reaction,2013,FeCo-OMPC(L),1,0,0,0,0,0.023,0.025,2.5,0.0485,,0,,,,,,,,,,OBMC/FeTMPPCl/CoTMPP,,,,,,,,,,,,,,,,500,,,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,,,,,,,,,,,,1000,3,,,2.5,1,5.625,25,1,,,,,,,,1190,0.66486,0.33514,0,1,0.851,45,24,1.252,25,1.52,0.42,0.6,Nafion 212,50,140,2,40,100,0,80,350,2000,0.2,720,1,513,131,0.98,0.75,0.69,0.65,0.625,0.6,0.585,0.565,0.55,0.535,0.52,0.505,0.495,0.475,0.47,0.46,0.45,0.44031,0.43119,0.4226,0.41449,0.40683,0.39957,0.39269,0.38615,0.37994,0.37403,0.36839,0.36301
Iron-based cathode catalyst with enhanced power density in polymer electrolyte membrane fuel cells,2011,1/20/80-Z8-1050 ～C-15 min,0,0,0.01,0,0,0,0.0358,3.58,0.053,,0,,,,,,,,,,"ZIF-8/1,10-Phenanthroline/FeAc",,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,800,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,950,0.25,1050,1,,,,0,0,,,,,,,,,,967,0.81563,0.18437,0,,,,,1.5,1,3.9,0.23,0.46,Nafion117,175,140,0.67,19.824,100,0,80,300,300,0.1,910,1,1250,275,0.92,0.85,0.81,0.79,0.77,0.75,0.73,0.705,0.675,0.66,0.65,0.63,0.605,0.595,0.575,0.55,0.54,0.525,0.5,0.475,0.45,0.43,0.4,0.37156,0.34592,0.3227,0.30157,0.28225,0.26452
High performance Pt-free cathode catalysts for polymer electrolyte membrane fuel cells prepared from widely available chemicals,2014,Fe/PI-1000-III-NH3 ,1,0,0,0,0,0,0.011,1.1,0.031,,0,,,,,,,,,,PMDA/ODA/Fe(acac)3,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800,1,,,,,,1,12,,,,,1000,1,,,,1050,0.8038,0.1961,0,0.91,0.76,,,0.6,1,4,0.4,,Nafion 211,25,150,2,3,100,0,80,300,300,0.2,600,0,1000,200,1,0.85,0.8,0.78,0.75,0.74,0.71,0.7,0.675,0.645,0.6,0.55783,0.52065,0.48762,0.45808,0.43151,0.40749,0.38565,0.36573,0.34747,0.33067,0.31517,0.30083,0.28751,0.27512,0.26355,0.25273,0.24259,0.23307
"High-Performance Electrocatalysts for Oxygen Reduction Derived from Polyaniline, Iron, and Cobalt",2011,PANI-Fe-C,0,0,0,0,0,0,,,,,0,,,,,,,,,,EC 300J/aniline/ammonium peroxydisulfate/FeCl3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0.92,0.81,,10,,5,4,0.25,,Nafion 115,125,,,,100,,85,200,400,0.28,286,0,352,43,0.968,0.676,0.619,0.566,0.529,0.489,0.448,0.401,0.358,0.31765,0.28197,0.25021,0.22174,0.19609,0.17285,0.1517,0.13237,0.11463,0.0983,0.08321,0.06923,0.05624,0.04414,0.03284,0.02226,0.01234,0.00301,0,0
